Group;Key;Default;Mandatory;Additional info
standalone;backend;``ibm_vpc``;no;Standalone compute backend implementation. IBM VPC is the default. If set it will overwrite the `backend` set in lithops section
standalone;runtime;``python3``;no;Runtime name to run the functions. Can be a Docker image name
standalone;auto_dismantle;``True``;no;If False then the VM is not stopped automatically. Run **exec.dismantle()** explicitly to stop the VM.
standalone;soft_dismantle_timeout;``300``;no;Time in seconds to stop the VM instance after a job **completed** its execution
standalone;hard_dismantle_timeout;``3600``;no;Time in seconds to stop the VM instance after a job **started** its execution
standalone;exec_mode;``consume``;no;One of: **consume** or **create**. If set to  **create**, Lithops will automatically create VMs based on the number of elements in iterdata
standalone;pull_runtime;``False``;no;If set to True, Lithops will execute the command `docker pull <runtime_name>` in each VSI before executing the a job
